xo,yo,zo,xi,yi
2,0,1,248,490
6,0,1,153,547
3,0,3,210,469
4,0,5,188,435
6,0,5,143,456
1,0,6,244,388
2,0,9,222,324
5,0,11,149,286
7,0,6,114,442
6,0,9,130,351
0,2,1,297,498
0,6,1,377,540
0,5,2,356,507
0,3,3,316,466
0,6,5,383,448
0,4,6,339,407
0,2,7,296,371
0,2,9,297,323
0,6,9,391,345
0,1,8,278,342
